Gender,Norwegian ,Class,Grammatical Form ,English ,
et,alfabet,noun,"alfabetet, alfabeter, alfabetene",alphabet,
en,alkohol,noun,"alkoholen, alkoholer, alkoholene",alcohol,
,all,"det., kvan.","alt, alle",all,
,• Han spiste all maten.,,,• He ate all the food.,
,• Han kjenner alle studentene.,,,• He knows all the students.,
,alle,pron.,,everyone,
,• Alle liker ham.,,,• Everyone likes him.,
en,allemannsrett,noun,allemannsretten,right to free access in nature,
,allerede,adv.,,already,
en,allergi,noun,"allergien, allergier, allergiene",allergy,
,allmenn,adj.,"allment, almenne","general, universal, common",
en,allsang,noun,allsangen,sing-a-long,
,alltid,adv.,,always,
et,alternativ,noun,"alternativet, alternativer, alternativene",alternative,
,alternativ,adj.,"alternativt, alternative",alternative,
,alvorlig,adj.,"alvorlig, alvorlige",serious,
,Amerika,noun,,America,
en,amerikaner,noun,"amerikaneren, amerikanere, amerikanerne",an American,
,amerikansk,adj.,"amerikansk, amerikanske",American,
en,amerikansk fotball,noun,"-fotballen, -fotballer, -fotballene",American football,
,amharisk,adj.,"amharisk, amhariske",Amharic,
en,amharisk,noun,amharisken,Amharic; official language in Ethiopia,
en,ananas,noun,"ananasen, ananaser, ananasene",pineapple,
å,anbefale,verb,"anbefaler, anbefalte, har anbefalt","recommend, suggest",
en,andel,noun,"andelen, andeler, andelene","share, amount",
,andre,"adj., ord.",,second,
et,andrespråk,noun,"andrespråket, andrespråk, andrespråkene",second language,
en,angst,noun,"angsten, angster, angstene","anxiety, dread",
en,ankel,noun,"ankelen, ankler, anklene",ankle,
ei/en,anledning,noun,"anledninga/anledningen, anledninger, anledningene",occasion,
,• ved spesielle anledninger,,,• on special occasions,
,annen,"det., dem.","anna, annet, andre",other,
,• blant annet,,,• among other things,
,• en annen dag,,,• another day,
,• på den andre siden,,,• on the other hand,
,annenhver,adj.,annethvert,every other,
en,annonse,noun,"annonsen, annonser, annonsene",advertisement,
en,anorakk,noun,"anorakken, anorakker, anorakkene","anorak, parka",
en,anoreksi,noun,anoreksien,anorexia,
en,ansatt,noun,"ansatt, ansatte",employee,
et,ansikt,noun,"ansiktet, ansikter, ansiktene",face,
et,ansvar,noun,"ansvaret, ansvar, ansvarene",responsibility,
,• ha ansvar for,,,• have responsibility for,
,• ta ansvar for,,,• take responsibility for,
en,antikvitet,noun,"antikviteten, antikviteter, antikvitetene",antique object,
en,antropologi,noun,"antropologien, antropologier, antropologiene",anthropology,
et,apotek,noun,"apoteket, apoteker, apotekene",pharmacy,
en,appelsin,noun,"appelsinen, appelsiner, appelsinene",orange,
en,appelsinjuice,noun,"appelsinjuicen, appelsinjuicer, appelsinjuicene",orange juice,
,april,noun,,April,
,arabisk,adj.,"arabisk, arabiske","Arabic, Arabian",
en,arabisk,noun,arabisken,Arabic language,
et,arbeid,noun,"arbeidet, arbeider, arbeidene",work,
å,arbeide,verb,"arbeider, arbeidet, har arbeidet",work,
,• arbeide på kontor,,,• work in an office,
,Arbeidernes dag,noun,,Labor Day (May 1st),
ei/en,arbeidsbok,noun,"arbeidsboka/arbeidsboken, arbeidsbøker, arbeidsbøkene",workbook,
en,arbeidsdag,noun,"arbeidsdagen, arbeidsdager, arbeidsdagene",work day,
et,arbeidsforhold,noun,"arbeidsforholdet, arbeidsforhold, arbeidsforholdene",work conditions,
en,arbeidsgiver,noun,"arbeidsgiveren, arbeidsgivere, arbeidsgiverne",employer,
et,arbeidsliv,noun,"arbeidslivet, arbeidsliv, arbeidslivene",work life,
en,arbeidsoppgave,noun,"arbeidsoppgaven, arbeidsoppgaver, arbeidsoppgavene","task, chore",
en,arbeidsplass,noun,"arbeidsplassen, arbeidsplasser, arbeidsplassene",workplace,
et,arbeidsrom,noun,"arbeidsrommet, arbeidsrom, arbeidsrommene",home office,
ei/en,arbeidstid,noun,"arbeidstida/arbeidstiden, arbeidstider, arbeidstidene",work hours,
,Argentina,noun,,Argentina,
en,argentiner,noun,"argentineren, argentinere, argentinerne",person from Argentina,
,argentinsk,adj.,"argentinsk, argentinske",Argentinian,
et,ark,noun,"arket, ark, arkene",piece of paper,
,• et ark papir,,,piece of paper,
en,arkitekt,noun,"arkitekten, arkitekter, arkitektene",architect,
en,arkitektur,noun,"arkitekturen, arkitekturer, arkitekturene",architecture,
en,arm,noun,"armen, armer, armene",arm,
,• arm i arm,,,• arm in arm,
,Armenia,noun,,Armenia,
en,armener,noun,"armeneren, armenere, armenerne",person from Armenia,
,armensk,adj.,"armensk, armenske",Armenian,
en,armensk,noun,armensken,Armenian language,
et,arr,noun,"arret, arr, arrene",scar,
å,arrangere,verb,"arrangerer, arrangerte, har arrangert","plan, arrange, organize",
,artig,adj.,"artig, artige","fun, amusing, entertaining",
,asiatisk,adj.,"asiatisk, asiatiske",Asian,
en,asparges,noun,"aspargesen, aspargeser, aspargesene",asparagus,
en,astronomi,noun,"astronomien, astronomier, astronomiene",astronomy,
,at,"conj., sub.",,that,
,• Han sier at han skal reise.,,,• He says that he will leave.,
,atten,"det., quan.",,eighteen,
,attende,"adj., ord.",,eighteenth,
,august,noun,,August,
,Australia,noun,,Australia,
en,australier,noun,"australieren, australiere, australierne",person from Australia,
,australsk,adj.,"australsk, australske",Australian,
,av,prep.,,of,
,• av norsk avstamning,,,• of Norwegian descent,
,• av og til,,,• now and then,
,avansert,adj.,"avansert, avanserte",advanced,
ei/en,avis,noun,"avisa/avisen, aviser, avisene",newspaper,
,• lese avisa,,,• read the paper,
et,avisbud,noun,"avisbudet, avisbud, avisbudene",newspaper carrier,
et,avisstoff,noun,"avisstoffet, avisstoff, avisstoffene",newspaper material,
en,avokado,noun,"avokadoen, avokadoer, avokadoene",avocado,
en,avskjed,noun,"avskjeden, avskjeder, avskjedene","goodbye, parting, leave",
,• ta avskjed,,,"• take leave, say goodbye",
,avslappet,adj.,"avslappet, avslappede/avslappete",relaxed,
ei/en,avstamning,noun,"avstamninga/avstamningen, avstamninger, avstamningene","heritage, descent",
en,avstand,noun,"avstanden, avstander, avstandene",distance,
,,,,,
,,,,,
,,,,,
et,bacon,,noun,"baconet, bacon, baconene",bacon
et,bad,,noun,"badet, bad, badene",bathroom; bath
å,bade,,verb,"bader, badet, har badet","swim, bathe"
ei/en,badebukse,,noun,"badebuksa/badebuksen, badebukser, badebuksene",swimming trunks
ei/en,badedrakt,,noun,"badedrakta/badedrakten, badedrakter, badedraktene",bathing suit
et,badekar,,noun,"badekaret, badekar, badekarene",bathtub
en,badeshorts,,noun,"badeshortsen, badeshorts/badeshortser, badeshortsene",swimming trunks
et,badetøy,,noun,badetøyet,swimwear
ei/en,badstue,,noun,"badstua/badstuen, badstuer, badstuene",sauna
en,bagasje,,noun,bagasjen,"baggage, luggage"
et,bagasjerom,,noun,"bagasjerommet, bagasjerom, bagasjerommene",trunk of a car
ei/en,bagasjetralle,,noun,"bagasjetralla/bagasjetrallen, bagasjetraller,bagasjetrallene",baggage cart
en,bagett,,noun,"bagetten, bagetter, bagettene",baguette
,bak,,adv.,,behind
å,bake,,verb,"baker, bakte, har bakt",bake
et,bakepulver,,noun,"bakepulveret, bakepulvere, bakepulverne",baking powder
en,baker,,noun,"bakeren, bakere, bakerne",baker
et,bakeri,,noun,"bakeriet, bakerier, bakeriene",bakery
en,bakke,,noun,"bakken, bakker, bakkene",hill
,bakt,,adj.,"bakt, bakte",baked
,• bakte poteter,,,,• baked potatoes
å,balansere,,verb,"balanserer, balanserte, har balansert",balance
en,balkong,,noun,"balkongen, balkonger, balkongene",balcony
en,ball,,noun,"ballen, baller, ballene",ball
en,ballett,,noun,"balletten, balletter, ballettene",ballet
,• danse ballett,,,,do ballet
en,ballong,,noun,"ballongen, ballonger, ballongene",balloon
en,banan,,noun,"bananen, bananer, bananene",banana
et,band,,noun,"bandet, band, bandene",pop/rock band
en,bane,,noun,"banen, baner, banene","court, course, field; light rail train"
en,bank,,noun,"banken, banker, bankene",bank
en,bar,,noun,"baren, barer, barene",bar
å,barbere seg,,verb,"barberer, barberte, har barbert",shave
,bare,,adv.,,"just, only"
,"• Bare bra, takk!",,,,"• Just fine, thanks!"
en,barista,,noun,"baristaen, baristaer, baristaene",barista in a coffee shop
et,barn,,noun,"barnet, barn, barna",a child
et,barnebarn,,noun,"barnebarnet, barnebarn, barnebarna",grandchild
en,barnehage,,noun,"barnehagen, barnehager, barnehagene","child care center, pre-school"
en,barneskole,,noun,"barneskolen, barneskoler, barneskolene",elementary school
et,barnestell,,noun,barnestellet,child care
et,barnetog,,noun,"barnetoget, barnetog, barnetogene",children’s parade on May 17
et,barneværelse,,noun,"barneværelset, barneværelser, barneværelsene",child’s bedroom
en,bart,,noun,"barten, barter, bartene",mustache
en,baseball,,noun,"baseballen, baseballer, baseballene",baseball
en,basketball,,noun,"basketballen, basketballer, basketballene",basketball
ei/en,basehopping,,noun,basehoppinga/basehoppingen,base jumping
å,be,,verb,"ber, ba, har bedt","ask, invite; pray"
,• be noen på kaffe,,,,• ask someone to coffee
,• be noen på middag,,,,• ask someone to dinner
,• be om unnskyldning,,,,• apologize
,• be til Gud,,,,• pray to God
,bedre,,adj./adv.,comparative of “god”,better
en,bedrift,,noun,"bedriften, bedrifter, bedriftene","company, firm"
ei/en,bedring,,noun,"bedringa/bedringen, bedringer, bedringene",improvement
ei/en,befolkning,,noun,"befolkninga/befolkningen, befolkninger, befolkningene",inhabitants
,begge,,"det., quant.",,both
,• begge deler,,,,both (things)
,• begge sider,,,,both sides
,• begge to,,,,both (people)
en,begravelse,,noun,"begravelsen, begravelser, begravelsene","burial, funeral"
å,begynne,,verb,"begynner, begynte, har begynt",begin
,• begynne på skolen,,,,• start school
,behagelig,,adj.,"behagelig, behagelige",comfortable; pleasant
ei/en,behandling,,noun,"behandlinga/behandlingen, behandlinger, behandlingene",treatment
et,behov,,noun,"behovet, behov, behovene","need, necessity"
et,bein,,noun,"beinet, bein, beina",leg; foot; bone
en,bekjent,,noun,"bekjent, bekjente",acquaintance
et,belte,,noun,"beltet, belter, beltene",belt
en,bensin,,noun,"bensinen, bensiner, bensinene",gasoline
en,bensinstasjon,,noun,"bensinstasjonen, bensinstasjoner, bensinstasjonene",gas station
ei/en,bergverksdrift,,noun,bergverksdrifta/bergverksdriften,mining
en,beskjed,,noun,"beskjeden, beskjeder, beskjedene",message
,beskjeden,,adj.,"beskjedent, beskjedne","humble, modest"
å,beskrive,,verb,"beskriver, beskrev, har beskrevet",describe
å,beskytte,,verb,"beskytter, beskyttet, har beskyttet",protect
,best,,adj.,superlative of “god”,best
,• beste hilsener,,,,"• best greetings
(closing for a letter)"
en,bestefar,,noun,"bestefaren, bestefedre, bestefedrene",grandfather
en,besteforelder,,noun,"besteforelderen, besteforeldre, besteforeldrene",grandparent
å,bestemme,,verb,"bestemmer, bestemte, har bestemt",decide
ei/en,bestemor,,noun,"bestemora/moren, bestemødre, bestemødrene",grandmother
,bestemt,,adj.,"bestemt, bestemte","definite, decided"
,• bestemt form,,,,• definite form
å,bestille,,verb,"bestiller, bestilte, har bestilt",order
å,bestå,,verb,"består, besto, har bestått",pass; consist of
,• bestå av,,,,• consist of
,• bestå en eksamen,,,,• pass an exam
å,besvime,,verb,"besvimmer, besvimte, har besvimt",faint
et,besøk,,noun,"besøket, besøk, besøkene",visit
å,besøke,,verb,"besøker, besøkte, har besøkt",visit
å,betale,,verb,"betaler, betalte, har betalt",pay
,• betale regningene,,,,• pay the bills
en,betennelse,,noun,"betennelsen, betennelser, betennelsene",infection
å,bety,,verb,"betyr, betydde, har betydd",mean
å,beundre,,verb,"beundrer, beundret, har beundret","admire, look up to"
å,bevege seg,,verb,"beveger seg, beveget/bevegde seg, har beveget/har bevegd seg",move around
en,BH (brystholder),,noun,"BH-en, BH-er, BH-ene","brassiere, bra"
et,bibliotek,,noun,"biblioteket, biblioteker, bibliotekene",library
en,bibliotekar,,noun,"bibliotekaren, bibliotekarer, bibliotekarene",librarian
en,biff,,noun,"biffen, biffer, biffene",steak
en,bihulebetennelse,,noun,"bihulebetennelsen, bihulebetennelser, bihulebetennelsene",sinus infection
en,bikini,,noun,"bikinien, bikinier, bikiniene",bikini
en,bil,,noun,"bilen, biler, bilene",car
et,bilde,,noun,"bildet, bilder, bildene",picture
en,bilferie,,noun,"bilferien, bilferier, bilferiene",car vacation
ei/en,bilforsikring,,noun,"bilforsikringa/bilforsikringen, bilforsikringer, bilforsikringene",car insurance
en,billedhugger,,noun,"billedhuggeren, billedhuggere, billedhuggerne",sculptor
en,billett,,noun,"billetten, billetter, billettene",ticket
ei/en,billettbestilling,,noun,"billettbestillingen, billettbestillinger, billettbestillingene",ticket ordering
,billig,,adj.,"billig, billige",cheap
en,bilmekaniker,,noun,"bilmekanikeren, bilmekanikere, bilmekanikerne",auto mechanic
et,bilskilt,,noun,"bilskiltet, bilskilt, bilskiltene",license plate
en,biltur,,noun,"bilturen, bilturer, bilturene",car trip
en,biografi,,noun,"biografien, biografier, biografiene",a biography
en,biologi,,noun,"biologien, biologier, biologiene",biology
et,bjørkeløv,,noun,"bjørkeløvet, bjørkeløv, bjørkeløvene",birch leaves
et,blad,,noun,"bladet, blad/blader, bladene",a magazine
å,bli,,verb,"blir, ble, har blitt",become; stay; will be
,• bli døpt,,,,• be baptized
,• bli gal,,,,• become crazy
,• bli hjemme,,,,• stay home
,• bli konfirmert,,,,• get confirmed
,• bli med,,,,• come along
,• bli vant til,,,,"• get used to, accustomed to"
en,blindtarmbetennelse,,noun,"-betennelsen, -betennelser, -betennelsene",appendicitus
,blid,,adj.,"blidt, blide","happy, friendly"
ei/en,blokk,,noun,"blokka/blokken, blokker, blokkene",notebook; apartment building
en,blokkleilighet,,noun,"blokkleiligheten, blokkleiligheter, blokkleilighetene",apartment in a large building
en,blomkål,,noun,"blomkålen, blomkåler, blomkålene",cauliflower
ei/en,blomkålsuppe,,noun,"blomkålsuppa/blomkålsuppen, blomkålsupper, blomkålsuppene",cauliflower soup
en,blomst,,noun,"blomsten, blomster, blomstene",flower
et,blomsterbed,,noun,"blomsterbedet, blomsterbed, blomsterbedene",flower bed
en,blomsterbutikk,,noun,"blomsterbutikken, blomsterbutikker, blomsterbutikkene",flower shop
ei/en,blomsterkasse,,noun,"blomsterkassa/blomsterkassen, blomsterkasser, blomsterkassene",flower box
ei/en,blomsterpotte,,noun,"blomsterpotta/blomsterpotten, blomsterpotter, blomsterpottene",flower pot
,blond,,adj.,"blondt, blonde",blonde
ei/en,bluse,,noun,"blusa/blusen, bluser, blusene",blouse
en,blyant,,noun,"blyanten, blyanter, blyantene",pencil
ei/en,bløtkake,,noun,"bløtkaka/bløtkaken, bløtkaker, bløtkakene","cake with whipped cream
and fruit filling"
,blå,,adj.,"blått, blå/blåe",blue
et,blåbær,,noun,"blåbæret, blåbær, blåbærene",blueberry
å,blåse,,verb,"blåser, blåste, har blåst",blow
et,blåskjell,,noun,"blåskjellet, blåskjell, blåskjellene",mussel
å,bo,,verb,"bor, bodde, har bodd",live
,• bo i utlandet,,,,• live abroad
,• bo på campinghytte,,,,• stay in a camping cabin
,• bo på en gård,,,,• live on a farm
,• bo på hotell,,,,• stay in a hotel
,• bo på hybel,,,,• live in a rented room
,• bo på landet,,,,• live in the country
,• bo på studenthjem,,,,• live in the dorm
,• bo sammen med,,,,• live together with
et,boardingkort,,noun,"boardingkortet, boardingkort, boardingkortene",boarding pass
en,bobil,,noun,"bobilen, bobiler, bobilene","motorhome, RV"
en,bod,,noun,"boden, boder, bodene",storage room; booth
ei/en,bok,,noun,"boka/boken, bøker, bøkene",book
en,bokhandel,,noun,"bokhandelen, bokhandler, bokhandlene",bookstore
ei/en,bokhylle,,noun,"bokhylla/bokhyllen, bokhyller, bokhyllene",bookshelf
,bokmål,,noun,,one of three official written languages in Norway; developed from Danish and used by approx. 85% of people
en,bolig,,noun,"boligen, boliger, boligene","dwelling, home"
ei/en,bomull,,noun,"bomulla/bomullen, bomuller, bomullene",cotton
en,bonde,,noun,"bonda/bonden, bønder, bøndene",farmer
et,bord,,noun,"bordet, bord, bordene",table
,borgerlig,,adj.,"borgerlig, borgerlige",civil
,• borgerlig begravelse,,,,• civil funeral
,• borgerlig konfirmasjon,,,,• civil confirmation
,• borgerlig navnefest,,,,• civil naming ceremony
,• borgerlig vigsel/vielse,,,,• civil wedding
,borte,,adv.,,away
en,borteseier,,noun,"borteseieren, borteseiere, borteseierne",away victory
,Bosnia Hercegovina,,noun,,Bosnia Hercegovina
,bortskjemt,,adj.,"bortskjemt, bortskjemte","spoiled, indulged"
,bosnisk,,adj.,"bosnisk, bosniske",Bosnian
en,bosnisk,,noun,bosnisken,Bosnian language
et,bosted,,noun,"bostedet, bosteder, bostedene",place of residence
en,boxershorts,,noun,"boxershortsen, boxershorts/boxershortser, boxershortsene",boxer shorts
,bra,,adj.,"bra, bra","good, fine"
,bra,,adv.,,well
en,brannkonstabel,,noun,"brannkonstabelen, brannkonstabler, brannkonstablene",firefighter
,Brasil,,noun,,Brazil
en,brasilianer,,noun,"brasilianeren, brasilianere, brasilianerne",person from Brazil
,brasiliansk,,adj.,"brasiliansk, brasilianske",Brazilian
en,bre,,noun,"breen, breer, breene",glacier
,bred,,adj./adv.,"bredt, brede","wide, broad"
å,brekke,,verb,"brekker, brakk, har brukket",break
,• brekke armen,,,,• break one’s arm
,• brekke beinet,,,,• break one’s leg
en/et,brennevin,,noun,brennevinen/brennevinet,hard liquor
å,brettseile,,verb,"brettseiler, brettseilte, har brettseilt",windsurf
et,brettspill,,noun,"brettspillet, brettspill, brettspillene",board game
en,bretur,,noun,"breturen, breturer, breturene",glacier hike
et,brev,,noun,"brevet, brev, brevene",letter
ei/en,brevandring,,noun,"brevandringa/brevandringen, brevandringer, brevandringene",glacier hiking
å,brevveksle,,verb,"brevveksler, brevvekslet, har brevvekslet",exchange letters
en,brevvenn,,noun,"brevvennen, brevvenner, brevvennene",pen pal
,briller,,"noun, pl.",brillene,glasses
et,bringebær,,noun,"bringebæret, bringebær, bringebærene",raspberry
en,brokkoli,,noun,"brokkolien, brokkolier, brokkoliene",broccoli
en,bronse,,noun,"bronsen, bronser, bronsene",bronze
en,bror,,noun,"broren, brødre, brødrene",brother
en,brosjyre,,noun,"brosjyren, brosjyrer, brosjyrene",brochure
ei/en,brud,,noun,"bruda/bruden, bruder, brudene",bride
et,brudepar,,noun,"brudeparet, brudepar, brudeparene",bridal couple
ei/en,brudepike,,noun,"brudepika/brudepiken, brudepiker, brudepikene",flower girl
en,brudesvenn,,noun,"brudesvennen, brudesvenner, brudesvennene",ring bearer
en,brudgom,,noun,"brudgommen, brudgommer, brudgommene",bridegroom
å,bruke,,verb,"bruker, brukte, har brukt",use
,• bruke briller,,,,• wear glasses
,• bruke penger,,,,• spend money
,brun,,adj.,"brunt, brune",brown
en,brunost,,noun,"brunosten, brunoster, brunostene",brown cheese
en,brus,,noun,"brusen, brus, brusene","soda, pop"
ei/en,brygge,,noun,"brygga/bryggen, brygger, bryggene","dock, wharf"
å,brygge,,verb,"brygger, brygget, har brygget",brew
et,bryggeri,,noun,"bryggeriet, bryggerier, bryggeriene",brewery
et,bryllup,,noun,"bryllupet, brylluper, bryllupene",wedding
ei/en,bryllupsreise,,noun,"bryllupsreisa/bryllupsreisen, bryllupsreiser, bryllupsreisene",honeymoon
et,bryst,,noun,"brystet, bryst, brystene","breast, chest"
en,brystholder,,noun,"brystholderen, brystholdere, brystholderne","brassiere, bra"
ei/en,bryting,,noun,"brytinga/brytingen, brytinger, brytingene",wrestling
et,brød,,noun,"brødet, brød, brødene",bread
en,brødmat,,noun,brødmaten,bread food
ei/en,brødskive,,noun,"brødskiva/brødskiven, brødskiver, brødskivene",slice of bread
et,bråk,,noun,"bråket, bråk, bråkene","noise, commotion, trouble"
å,bukke,,verb,"bukker, bukket, har bukket",bow
ei/en,bukse,,noun,"buksa/buksen, bukser, buksene",pair of pants
en,bulimi,,noun,bulimien,bulimia
en,bunad,,noun,"bunaden, bunader, bunadene",Norwegian national costume
en,bunadssko,,noun,"bunadsskoen, bunadssko, bunadsskoene",shoes for national costume
å,burde,,"verb, mod.","bør, burde, har burdet",ought to
en,burrito,,noun,"burritoen, burritoer, burritoene",burrito
en,bursdag,,noun,"bursdagen, bursdager, bursdagene",birthday
et,bursdagskort,,noun,"bursdagskortet, bursdagskort, bursdagskortene",birthday card
en,bursdagssang,,noun,"bursdagssangen, bursdagssanger, bursdagssangene",birthday song
en,busk,,noun,"busken, busker, buskene",bush
en,buss,,noun,"bussen, busser, bussene",bus
en,bussjåfør,,noun,"bussjåføren, bussjåfører, bussjåførene",bus driver
en,busstasjon,,noun,"busstasjonen, busstasjoner, busstasjonene",bus station
en,bussterminal,,noun,"bussterminalen, bussterminaler, bussterminalene",bus terminal
en,butikk,,noun,"butikken, butikker, butikkene",store
en,butikksjef,,noun,"butikksjefen, butikksjefer, butikksjefene",store manager
en,by,,noun,"byen, byer, byene",city
ei/en,bygd,,noun,"bygda/bygden, bygder, bygdene","country settlement, township"
å,bygge,,verb,"bygger, bygget/bygde, har bygget/har bygd",build
en,byggeskikk,,noun,"byggeskikken, byggeskikker, byggeskikkene",building traditions
et,byggfag,,noun,"byggfaget, byggfag, byggfagene","carpentry, construction classes"
ei/en,bygning,,noun,"bygninga/bygningen, bygninger, bygningene",building
en,bygård,,noun,"bygården, bygårder, bygårdene",apartment building
å,bytte,,verb,"bytter, byttet, har byttet",exchange; change clothes
et,bær,,noun,"bæret, bær, bærene",berry
å,bære,,verb,"bærer, bar, har båret",carry
en,bærtur,,noun,"bærturen, bærturer, bærturene",berrypicking trip
,• dra på bærtur,,,,• go berrypicking
ei/en,bønne,,noun,"bønna/bønnen, bønner, bønnene",bean
,bør,,verb,"Present tense form of ""burde""",ought to
å,børste,,verb,"børster, børstet, har børstet",brush
,• børste håret,,,,• brush hair
ei/en,bøtte,,noun,"bøtta/bøtten, bøtter, bøttene",bucket
,både,,conj.,,both
,• både...og,,,,• both...and
et,bål,,noun,"bålet, bål, bålene",fire
en,båt,,noun,"båten, båter, båtene",boat
en,båttur,,noun,"båtturen, båtturer, båtturene",boat trip
,,,,,
,,,,,
,,,,,
café au lait,,noun,,café au lait,
en,café latte,,noun,,café latte
en,café mocca,,noun,,café mocha
ei/en,campinghytte,,noun,"campinghytta/-hytten, campinghytter, campinghyttene",camping cabin
,• bo på campinghytte,,,,• stay in a camping cabin
en,campingplass,,noun,"campingplassen, campingplasser, campingplassene",campground
en,campingtur,,noun,"campingturen, campingturer, campingturene",camping trip
,• dra på campingtur,,,,• go on a camping trip
ei/en,campingvogn,,noun,"campingvogna/-vognen, campingvogner, campingvognene",camping trailer
,Canada,,noun,,Canada
en,canadier/kanadier,,noun,"canadieren, canadiere, canadierne",Canadian
,canadisk/kanadisk,,adj.,"canadisk, canadiske",Canadian
en,cappuccino,,noun,"cappuccinoen, cappuccinoer, cappuccinoene",cappuccino
ei/en,capribukse,,noun,"capribuksa/capribuksen, capribukser, capribuksene",pair of capri pants
en,CD,,noun,"CD-en, CD-er, CD-ene",CD
en,CD-ROM,,noun,"CD-ROM-en, CD-ROM-er, CD-ROM-ene",CD-ROM
ei/en,CD-samling,,noun,"CD-samlinga/CD-samlingen, CD-samlinger, CD-samlingene",CD collection
en,CD-spiller,,noun,"CD-spilleren, CD-spillere, CD-spillerne",CD player
en,charterferie,,noun,"charterferien, charterferier, charterferiene",charter vacation
en,cheddarost,,noun,"cheddarosten, cheddaroster, cheddarostene",cheddar cheese
,Chile,,noun,,Chile
en,chilener,,noun,"chileneren, chilenere, chilenerne",Person from Chile
,chilensk,,adj.,"chilensk, chilenske",Chilean
ei/en,chiligryte,,noun,"chiligryta/chiligryten, chiligryter, chiligrytene",chili
,cirka (ca.),,adv.,,approximately
en,cola,,noun,"colaen, colaer, colaene",cola
et,college,,noun,"colleget, colleger, collegene",college
en,collegegenser,,noun,"collegegenseren, collegegensere, collegegenserne",sweatshirt
,,,,,
,,,,,
,,,,,
,• Da kan jeg ikke hjelpe deg.,,,,"• In that case, I can't help you."
,da,,"conj., sub.",,"when (used about one
past occurrence)"
,"• Da de kom, reiste vi.",,,,"• When they arrived, we left."
en,dag,,noun,"dagen, dager, dagene",day
,daglig,,adj.,"daglig, daglige",daily
en,daglig leder,,noun,"- lederen, - ledere, - lederne",manager
en,dal,,noun,"dalen, daler, dalene",valley
ei/en,dame,,noun,"dama/damen, damer, damene","lady, woman"
,dameklær,,"noun, pl.","dameklær, dameklærne",women's clothing
,Danmark,,noun,,Denmark
en,dans,,noun,"dansen, danser, dansene",dance
å,danse,,verb,"danser, danset, har danset",dance
en,danser,,noun,"danseren, dansere, danserne",dancer
,dansk,,adj.,"dansk, danske",Danish
en,dansk,,noun,dansken,Danish language
en,danske,,noun,"dansken, dansker, danskene",Danish person
en,datamaskin,,noun,"datamaskinen, datamaskiner, datamaskinene",a computer
et,datarom,,noun,"datarommet, datarom, datarommene",computer lab
et,datasenter,,noun,"datasenteret, datasentre, datasentrene",computer center
et,dataspill,,noun,"dataspillet, dataspill, dataspillene",computer game
en,dato,,noun,"datoen, datoer, datoene",date (on calendar)
ei/en,datter,,noun,"dattera/datteren, døtre, døtrene",daughter
,de,,"det., art.",,the (with pl. nouns + adj.)
,• Liker du de høye fjellene?,,,,• Do you like the tall mountains?
,de,,"det., dem.",,those (with pl. nouns)
,• Jeg vil ha de skoene.,,,,• I would like those shoes.
,de,,"pron., subj.",,they
,• De er fra Norge.,,,,• They are from Norway.
å,debutere,,verb,"debuterer, debuterte, har debutert",debut
,deg,,"pron., obj.",,you (singular)
